gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name
607,EEF1G,24276,YTHDC1
607,EEF1G,59973,TTC4
607,EEF1G,40754,GTF3C3
607,EEF1G,80862,ZWINT
607,EEF1G,78680,NSMCE4A
607,EEF1G,14417,ROMO1
607,EEF1G,55922,POLR2K
624,WARS2,80862,ZWINT
624,WARS2,46547,ZNF830
654,FBLN1,75869,INTS8
668,DAZ3,30092,NAE1
710,FKBP11,14672,ORM1
710,FKBP11,78342,PDGFRB
710,FKBP11,48812,NTRK1
710,FKBP11,30949,KIT
710,FKBP11,36922,PTGS1
710,FKBP11,94654,SLC22A2
710,FKBP11,65860,PDGFRA
710,FKBP11,69468,SLC22A1
710,FKBP11,35301,RET
721,RHOG,67848,TAF10
726,RPLP1,27184,SNRPD3
726,RPLP1,1275,TUBGCP3
726,RPLP1,59973,TTC4
726,RPLP1,50522,TAF2
726,RPLP1,66010,VPS29
726,RPLP1,93727,SSBP1
731,WDR7,64943,PHF21A
778,STRBP,21378,ZNF273
778,STRBP,4533,YEATS4
778,STRBP,72197,MDM4
778,STRBP,33839,EPB41
778,STRBP,60649,ZNF92
778,STRBP,57844,LUC7L2
778,STRBP,71245,ZNF138
785,TACR1,3912,GPR68
785,TACR1,38066,RAPSN
785,TACR1,92324,TMEM212
789,MYO1B,61256,LRCH4
789,MYO1B,13024,RND3
832,ANXA2P2,86028,PERP
832,ANXA2P2,88838,PLCD3
832,ANXA2P2,36434,TGM2
839,EIF2S1,30092,NAE1
847,PBRM1,19925,UBR5
847,PBRM1,47636,TOP1
847,PBRM1,66175,VHL
847,PBRM1,55035,PTEN
857,HCN3,50834,NRAS
857,HCN3,60732,KRAS
857,HCN3,68063,HRAS
865,COPB2,63795,GFPT1
865,COPB2,33598,BRCA1
865,COPB2,60732,KRAS
865,COPB2,89367,SENP2
921,LACC1,68063,HRAS
921,LACC1,60732,KRAS
921,LACC1,50834,NRAS
940,DCLRE1A,30092,NAE1
940,DCLRE1A,68063,HRAS
940,DCLRE1A,60732,KRAS
940,DCLRE1A,50834,NRAS
975,ZFP37,60732,KRAS
980,LRRC37A3,65860,PDGFRA
980,LRRC37A3,25774,SMARCE1
980,LRRC37A3,35301,RET
980,LRRC37A3,36922,PTGS1
980,LRRC37A3,69468,SLC22A1
980,LRRC37A3,78342,PDGFRB
980,LRRC37A3,14672,ORM1
980,LRRC37A3,94654,SLC22A2
980,LRRC37A3,48812,NTRK1
994,MLH3,30092,NAE1
1001,PRPF3,91987,SCNM1
1007,ERAL1,48800,DHX9
1014,DNAJB11,33598,BRCA1
1022,IBSP,55961,KLK2
1078,ACAT1,73661,DDX10
1084,DAD1,30092,NAE1
1084,DAD1,51196,TMED10
1096,CHCHD3,84724,TNFAIP8L3
1096,CHCHD3,9066,NPY4R2
1096,CHCHD3,63191,PAXIP1
1096,CHCHD3,69652,FAM20A
1096,CHCHD3,80517,LAMA2
1105,C6orf132,52915,S100A14
1105,C6orf132,44867,TEAD3
1112,TIMELESS,55206,TMPO
1112,TIMELESS,43405,TLR5
1112,TIMELESS,44488,ZBTB39
1130,GPR157,68063,HRAS
1130,GPR157,60732,KRAS
1130,GPR157,50834,NRAS
1139,C8A,94004,SEMA4F
1139,C8A,68063,HRAS
1139,C8A,50834,NRAS
1139,C8A,60732,KRAS
1139,C8A,8252,SPTLC3
1158,ELF3,43844,PLEKHA6
1158,ELF3,66619,TSTD1
1158,ELF3,62565,MAL2
1158,ELF3,15507,PRSS8
1158,ELF3,77903,TUFT1
1158,ELF3,55910,S100A11
1191,MED19,88008,PPFIBP1
1191,MED19,9300,PTX3
1191,MED19,72504,THBD
1210,APTX,21198,NDUFB6
1212,NEDD8,50834,NRAS
1212,NEDD8,60732,KRAS
1249,BARD1,44146,NCAPH
1249,BARD1,23758,SNRPA
1249,BARD1,19137,MYC
1249,BARD1,30092,NAE1
1255,CCL24,86924,EME1
1261,GSDME,46623,SERPINE1
1261,GSDME,37962,TPST1
1275,TUBGCP3,80862,ZWINT
1275,TUBGCP3,66010,VPS29
1275,TUBGCP3,24276,YTHDC1
1275,TUBGCP3,52590,VPS72
1275,TUBGCP3,46547,ZNF830
1275,TUBGCP3,33887,WDR61
1275,TUBGCP3,1253,WDR77
1275,TUBGCP3,36106,WDR70
1275,TUBGCP3,60065,ZNRD1
1275,TUBGCP3,2904,TUBGCP5
1275,TUBGCP3,55748,XRN2
1275,TUBGCP3,39388,UBA2
1275,TUBGCP3,731,WDR7
1275,TUBGCP3,42619,ZNHIT6
1281,RBM39,68437,SLIT2
1298,KIR2DL3,84981,KIR2DL4
1303,CRP,29058,GH2
1303,CRP,22719,PDX1
1303,CRP,19137,MYC
1305,CLIP4,14572,OSMR
1305,CLIP4,13024,RND3
1305,CLIP4,80915,PLAT
1305,CLIP4,1474,EFNA2
1312,PARD6B,90025,PKP2
1312,PARD6B,5154,SLC16A1
1316,RNF144B,85205,TRIP13
1328,MAP4K5,10369,SLC29A1
1328,MAP4K5,89712,TYMS
1328,MAP4K5,89489,SLC28A1
1328,MAP4K5,7761,MNAT1
1328,MAP4K5,44669,SLC29A2
1328,MAP4K5,30192,RRM1
1376,PNLIPRP2,81221,PTPN12
1393,POLM,30192,RRM1
1393,POLM,93727,SSBP1
1393,POLM,55604,RBX1
1393,POLM,7059,WRAP53
1393,POLM,27772,XRCC2
1393,POLM,29297,USP1
1393,POLM,45096,PPM1D
1393,POLM,47539,TNFRSF10B
1393,POLM,69057,POLR2A
1393,POLM,54138,RAD51
1393,POLM,60732,KRAS
1393,POLM,58426,RAD23B
1393,POLM,13272,ZBTB32
1393,POLM,52831,SESN2
1393,POLM,44340,RELA
1393,POLM,35001,RPL13A
1393,POLM,18894,UNG
1393,POLM,8502,RAD9A
1421,MIS18BP1,30092,NAE1
1424,TCF21,70651,DSPP
1471,ARF4,68063,HRAS
1471,ARF4,865,COPB2
1471,ARF4,61862,MCL1
1471,ARF4,24307,RHEB
1471,ARF4,20577,RPP14
1471,ARF4,68285,ATP6V1C1
1471,ARF4,83128,LMNA
1471,ARF4,60732,KRAS
1471,ARF4,50834,NRAS
1474,EFNA2,75306,GPR87
1474,EFNA2,32364,STEAP4
1474,EFNA2,16286,LXN
1476,ARGFX,1966,BACH1
1481,FBXL7,60732,KRAS
1481,FBXL7,68063,HRAS
1481,FBXL7,50834,NRAS
1481,FBXL7,33598,BRCA1
1481,FBXL7,81158,PCBP1
1481,FBXL7,1790,TSG101
1483,PIK3CD,43115,PTPRZ1
1483,PIK3CD,94780,PRODH
1483,PIK3CD,38662,PIK3CG
1483,PIK3CD,87216,PIM2
1483,PIK3CD,60761,PTP4A3
1483,PIK3CD,24195,SSTR5
1491,CPNE5,60732,KRAS
1491,CPNE5,50834,NRAS
1491,CPNE5,68063,HRAS
1500,COPS2,96155,TRRAP
1500,COPS2,65499,PELO
1500,COPS2,47104,MAPKAP1
1500,COPS2,28217,LEO1
1500,COPS2,10146,PPP2R1A
1500,COPS2,68063,HRAS
1500,COPS2,59671,MED28
1500,COPS2,50834,NRAS
1500,COPS2,8808,KCTD10
1500,COPS2,33777,TBL1XR1
1500,COPS2,60732,KRAS
1500,COPS2,64205,EXOSC9
1500,COPS2,21845,SKA3
1500,COPS2,75249,NDUFA8
1519,CHRNA2,55035,PTEN
1526,CDKL5,86191,DCK
1526,CDKL5,10369,SLC29A1
1526,CDKL5,84679,CMPK1
1526,CDKL5,44669,SLC29A2
1526,CDKL5,30192,RRM1
1526,CDKL5,89489,SLC28A1
1526,CDKL5,89712,TYMS
1561,BEND2,55035,PTEN
1593,TMEM39B,20087,MBD3
1593,TMEM39B,88628,KHSRP
1606,VPS41,10799,PTAR1
1612,MTMR6,50256,N4BP2L2
1629,SLC7A13,33598,BRCA1
1629,SLC7A13,46130,BRCA2
1642,HSDL2,50834,NRAS
1642,HSDL2,60732,KRAS
1680,GABPA,4303,SRP9
1680,GABPA,8675,SENP7
1693,DFFB,30092,NAE1
1696,LAT2,11371,RREB1
1699,CGNL1,75939,NELFE
1700,FKBP14,84328,STRN4
1700,FKBP14,50574,ANXA5
1700,FKBP14,92206,GMPR
1715,HSPB3,30092,NAE1
1739,SLPI,81226,SPINT2
1739,SLPI,65627,TRAIP
1747,B4GALNT3,94392,DEFB118
1752,RINT1,1275,TUBGCP3
1752,RINT1,59973,TTC4
1752,RINT1,12178,SEC22B
1752,RINT1,24276,YTHDC1
1791,DOLK,84455,CLPTM1
1803,FERD3L,32728,GSTP1
1815,HDAC3,30092,NAE1
1820,PLA2G2F,44091,TNP2
1822,REXO2,2763,TBCB
1822,REXO2,58486,OVOL1
1822,REXO2,6692,RASSF7
1822,REXO2,62997,TAF1
1822,REXO2,124,SP6
1822,REXO2,48170,LLGL2
1822,REXO2,8186,TUBB
1822,REXO2,12178,SEC22B
1822,REXO2,59973,TTC4
1822,REXO2,68980,ELMO3
1822,REXO2,12635,P2RY2
1822,REXO2,83551,SPAG7
1822,REXO2,1112,TIMELESS
1822,REXO2,48811,TRNAU1AP
1822,REXO2,726,RPLP1
1822,REXO2,70324,RPL8
1822,REXO2,42203,UGT1A1
1822,REXO2,55090,RNF43
1822,REXO2,20612,RPL36A
1822,REXO2,79321,TRPM7
1822,REXO2,25557,RPL5
1822,REXO2,93727,SSBP1
1822,REXO2,46547,ZNF830
1822,REXO2,1275,TUBGCP3
1822,REXO2,33887,WDR61
1822,REXO2,55748,XRN2
1822,REXO2,96155,TRRAP
1822,REXO2,21845,SKA3
1836,EFR3A,79321,TRPM7
1836,EFR3A,23306,GTF2H4
1836,EFR3A,96155,TRRAP
1836,EFR3A,95387,MRPL16
1836,EFR3A,94478,NUP54
1836,EFR3A,1822,REXO2
1836,EFR3A,1275,TUBGCP3
1836,EFR3A,47104,MAPKAP1
1836,EFR3A,66813,RPP30
1836,EFR3A,83551,SPAG7
1836,EFR3A,59973,TTC4
1836,EFR3A,29727,PTTG1
1836,EFR3A,12178,SEC22B
1836,EFR3A,65499,PELO
1836,EFR3A,89901,MED1
1836,EFR3A,65030,RPL13
1836,EFR3A,11957,NUDC
1836,EFR3A,12292,MED23
1836,EFR3A,53172,EIF3C
1836,EFR3A,54181,NUP85
1836,EFR3A,52590,VPS72
1836,EFR3A,5898,LARS1
1836,EFR3A,36820,NCAPD2
1836,EFR3A,25029,RBBP8
1836,EFR3A,28217,LEO1
1836,EFR3A,64205,EXOSC9
1836,EFR3A,50522,TAF2
1836,EFR3A,96301,TP53
1836,EFR3A,8808,KCTD10
1836,EFR3A,33887,WDR61
1836,EFR3A,2031,GNL3L
1836,EFR3A,5986,NFE2L1
1836,EFR3A,55748,XRN2
1836,EFR3A,60554,NAA25
1837,CBLL1,79733,SLC25A40
1837,CBLL1,57844,LUC7L2
1847,BMP6,49109,NEMP1
1847,BMP6,70423,SLC4A2
1847,BMP6,16010,CDC25B
1854,SGCB,61083,LRP12
1860,PATZ1,20750,AKAP8L
1860,PATZ1,19198,POLE
1860,PATZ1,89047,DDX51
1860,PATZ1,13190,SREBF2
1895,KRTAP5-9,9758,EGFR
1902,CSH2,785,TACR1
1902,CSH2,57871,SLAMF1
1909,TNFRSF1A,53056,WWTR1
1913,CCDC124,51691,FARSA
1918,NDUFV2,50834,NRAS
1934,ERG28,79742,TTLL5
1941,CDH20,30092,NAE1
1948,POT1,62419,CNBP
1948,POT1,31278,RAB23
1948,POT1,1752,RINT1
1948,POT1,83496,RAD17
1951,UGCG,90268,SRGAP1
1966,BACH1,75430,RECQL4
1966,BACH1,48158,LRGUK
1966,BACH1,16010,CDC25B
1966,BACH1,59248,U2AF2
1974,RPS23,80327,TAF9
1984,PRMT8,36922,PTGS1
1984,PRMT8,35301,RET
1984,PRMT8,69468,SLC22A1
1984,PRMT8,94654,SLC22A2
2008,EYA4,70423,SLC4A2
2008,EYA4,50834,NRAS
2008,EYA4,75167,GRHL2
2008,EYA4,68063,HRAS
2008,EYA4,60732,KRAS
2015,KCNJ6,60732,KRAS
2031,GNL3L,50860,METTL17
2031,GNL3L,21845,SKA3
2031,GNL3L,77791,RBM17
2031,GNL3L,33945,ZMAT5
2031,GNL3L,60065,ZNRD1
2031,GNL3L,13563,PRIM2
2031,GNL3L,71977,METAP2
2031,GNL3L,29727,PTTG1
2031,GNL3L,10146,PPP2R1A
2031,GNL3L,54181,NUP85
2031,GNL3L,2964,XPO1
2031,GNL3L,37819,KARS1
2031,GNL3L,60732,KRAS
2031,GNL3L,68063,HRAS
2031,GNL3L,46547,ZNF830
2031,GNL3L,39948,RPL30
2031,GNL3L,27723,RFC5
2031,GNL3L,21095,MCM3AP
2031,GNL3L,19198,POLE
2031,GNL3L,12330,NCBP1
2031,GNL3L,41282,POLE2
2031,GNL3L,38940,HSPA5
2031,GNL3L,37160,RPS18
2031,GNL3L,64958,RPL28
2031,GNL3L,51419,TAF1A
2031,GNL3L,50834,NRAS
2031,GNL3L,95103,RAE1
2031,GNL3L,726,RPLP1
2031,GNL3L,7673,NUP43
2031,GNL3L,29136,SRP19
2045,GLIPR1,78342,PDGFRB
2045,GLIPR1,30949,KIT
2045,GLIPR1,14672,ORM1
2045,GLIPR1,94654,SLC22A2
2045,GLIPR1,69468,SLC22A1
2045,GLIPR1,36922,PTGS1
2045,GLIPR1,13165,RPP40
2045,GLIPR1,35301,RET
2045,GLIPR1,84340,COL6A2
2045,GLIPR1,20314,VARS1
2045,GLIPR1,48812,NTRK1
2045,GLIPR1,65860,PDGFRA
2051,AOC3,20190,PIK3R2
2051,AOC3,63476,BCAT2
2051,AOC3,1483,PIK3CD
2051,AOC3,55810,PRKDC
2051,AOC3,42330,MASP2
2051,AOC3,43898,CAMK2A
2051,AOC3,43327,HCRTR1
2051,AOC3,71129,AXL
2051,AOC3,22099,NDUFA4L2
2051,AOC3,25943,STMN1
2051,AOC3,95418,HMGA1
2051,AOC3,22800,PIK3C2B
2051,AOC3,10708,CYP11B2
2051,AOC3,70281,NAGK
2051,AOC3,88171,CCNE2
2051,AOC3,74945,CDC25A
2051,AOC3,92958,POP1
2051,AOC3,53092,SLC16A8
2051,AOC3,92091,GRB2
2051,AOC3,72207,PTPRE
2051,AOC3,65458,SPHK1
2051,AOC3,87320,DCXR
2051,AOC3,23438,GPI
2051,AOC3,90465,TPSAB1
2051,AOC3,33922,NFYA
2051,AOC3,52225,TYK2
2051,AOC3,58790,EPRS1
2051,AOC3,82758,HMGCR
2058,MPHOSPH6,60732,KRAS
2058,MPHOSPH6,80022,SLC39A9
2058,MPHOSPH6,55748,XRN2
2058,MPHOSPH6,57087,PSMD1
2058,MPHOSPH6,50834,NRAS
2058,MPHOSPH6,59973,TTC4
2058,MPHOSPH6,68023,PAFAH1B1
2058,MPHOSPH6,1275,TUBGCP3
2068,GPR3,785,TACR1
2072,SKA1,84722,TSC22D2
2078,CHMP4B,48642,RBMS1
2078,CHMP4B,12782,TXNDC5
2088,PLCB1,94654,SLC22A2
2088,PLCB1,36922,PTGS1
2088,PLCB1,69468,SLC22A1
2088,PLCB1,35301,RET
2091,SERPINB8,82810,LAMB2
2098,SDE2,5867,PPP1R15B
2098,SDE2,11243,RBM34
2117,INTS3,29727,PTTG1
2117,INTS3,28217,LEO1
2117,INTS3,1275,TUBGCP3
2117,INTS3,30092,NAE1
2117,INTS3,55748,XRN2
2117,INTS3,81580,PPWD1
2117,INTS3,16355,RNGTT
2117,INTS3,12292,MED23
2117,INTS3,33887,WDR61
2117,INTS3,51251,OGFOD1
2117,INTS3,20089,MRPS27
2117,INTS3,69303,TRMT5
2117,INTS3,78680,NSMCE4A
2117,INTS3,52590,VPS72
2131,TNK1,28353,DSG2
2131,TNK1,64285,PATJ
2131,TNK1,89712,TYMS
2131,TNK1,56689,GOLT1A
2131,TNK1,85854,SERPINB5
2131,TNK1,93813,CGN
2139,CORO7,19137,MYC
2160,DSC1,50834,NRAS
2160,DSC1,60732,KRAS
2160,DSC1,68063,HRAS
2185,GLP1R,67237,SLC22A7
2194,TAPT1,76426,LSM8
2194,TAPT1,10799,PTAR1
2202,LRRC20,81221,PTPN12
2220,ARHGEF2,33598,BRCA1
2220,ARHGEF2,96301,TP53
2235,BNIP3,30092,NAE1
2249,CD48,1423,TNFAIP8L2
2304,ACVR1,87381,AKT1
2304,ACVR1,6456,MAP3K3
2304,ACVR1,43050,DMPK
2304,ACVR1,18947,CALU
2304,ACVR1,3375,ATM
2304,ACVR1,38662,PIK3CG
2304,ACVR1,45514,EXT2
2304,ACVR1,50430,CIT
2309,CTTNBP2NL,60732,KRAS
2309,CTTNBP2NL,68063,HRAS
2309,CTTNBP2NL,50834,NRAS
2309,CTTNBP2NL,85946,ANXA2
2309,CTTNBP2NL,13726,LARP6
2321,ORM2,55035,PTEN
2329,PHETA2,36433,NUP107
2330,ANKRD1,64579,RHBDD2
2330,ANKRD1,71129,AXL
2330,ANKRD1,55035,PTEN
2352,C9orf78,16151,POLE3
2409,GPR89A,19137,MYC
2424,YJU2,96301,TP53
2424,YJU2,20087,MBD3
2424,YJU2,16715,PRPF19
2432,FOXJ3,19849,GPBP1L1
2436,PARP16,40238,SNAI1
2478,CA2,11131,PDE6D
2478,CA2,36922,PTGS1
2478,CA2,94654,SLC22A2
2478,CA2,45411,CYP2C9
2478,CA2,14672,ORM1
2478,CA2,46732,CYP2C19
2478,CA2,17565,DDR1
2478,CA2,50176,CYP2D6
2478,CA2,19644,CYP1A2
2478,CA2,82030,CYP3A7
2478,CA2,48812,NTRK1
2478,CA2,69468,SLC22A1
2478,CA2,35301,RET
2478,CA2,21067,CYP3A5
2478,CA2,78342,PDGFRB
2478,CA2,65860,PDGFRA
2478,CA2,33542,CYP3A4
2478,CA2,30949,KIT
2478,CA2,21849,CSF1R
2486,SFPQ,20444,RBM26
2491,DDAH1,78342,PDGFRB
2491,DDAH1,9657,PLXNA1
2491,DDAH1,44726,KRT15
2491,DDAH1,94654,SLC22A2
2491,DDAH1,30949,KIT
2491,DDAH1,48812,NTRK1
2491,DDAH1,65860,PDGFRA
2491,DDAH1,69468,SLC22A1
2491,DDAH1,17565,DDR1
2491,DDAH1,40238,SNAI1
2491,DDAH1,67431,HOXC6
2491,DDAH1,36922,PTGS1
2491,DDAH1,35301,RET
2491,DDAH1,14672,ORM1
2491,DDAH1,52850,IGF2BP3
2502,LAMTOR5,29882,STXBP3
2511,ESPL1,21299,SENP1
2511,ESPL1,87424,RACGAP1
2511,ESPL1,86306,LEPR
2511,ESPL1,43405,TLR5
2511,ESPL1,30092,NAE1
2511,ESPL1,69503,KNTC1
2521,AGRN,47156,GJB3
2521,AGRN,49203,SFN
2524,FGFR2,92091,GRB2
2524,FGFR2,18839,MAP3K1
2537,TPP2,60732,KRAS
2537,TPP2,21436,UPF3A
2543,NF2,27655,YAP1
2543,NF2,60579,PTK2
2543,NF2,60732,KRAS
2543,NF2,50834,NRAS
2587,BCR,32911,PDE4DIP
2587,BCR,23132,LIPE
2587,BCR,2088,PLCB1
2587,BCR,23942,TPM1
2587,BCR,38661,UBA6
2587,BCR,88,ZNF140
2587,BCR,71534,TAS2R14
2587,BCR,68182,SEL1L
2587,BCR,61098,MGAT2
2587,BCR,51731,NUDT3
2587,BCR,28477,HIF3A
2587,BCR,8531,FZD2
2587,BCR,84106,NFATC2IP
2587,BCR,14834,CA5A
2587,BCR,80956,TNFRSF9
2587,BCR,5042,SRI
2587,BCR,74529,PPP3CB
2587,BCR,33658,CLDN3
2587,BCR,20191,DLAT
2587,BCR,74734,RCAN2
2587,BCR,29101,CACNA2D2
2587,BCR,51300,IL7
2587,BCR,92524,CAMK2G
2587,BCR,18460,COL3A1
2587,BCR,87187,IRF7
2587,BCR,65218,EHF
2587,BCR,69533,UBE3A
2587,BCR,75629,NKRF
2587,BCR,34722,RTP4
2587,BCR,9922,SMARCA1
2587,BCR,29081,TBCCD1
2587,BCR,28367,DBF4
2587,BCR,87295,S1PR2
2587,BCR,20250,CARS1
2587,BCR,14881,GPC5
2587,BCR,39772,NFATC1
2587,BCR,54982,H3C7
2587,BCR,89774,SRSF1
2587,BCR,40973,WNT5A
2587,BCR,94413,CLPX
2587,BCR,2491,DDAH1
2587,BCR,72090,RAP1A
2587,BCR,49350,THAP1
2587,BCR,86374,SAT1
2587,BCR,3245,HLA-DRA
2587,BCR,43049,GLT8D1
2587,BCR,23369,GTF2H5
2587,BCR,1984,PRMT8
2587,BCR,19058,PYROXD1
2587,BCR,12996,TMEFF1
2587,BCR,21731,CYP2B6
2587,BCR,83801,TRIP11
2587,BCR,80423,SYT11
2587,BCR,17772,ZNF473
2587,BCR,46878,EDF1
2587,BCR,82871,CEACAM1
2587,BCR,65672,TFAP2B
2587,BCR,82765,LDLRAD4
2587,BCR,16899,ERMP1
2587,BCR,75586,RARA
2587,BCR,86432,TLE1
2587,BCR,84,EPB42
2587,BCR,14192,MAPK11
2587,BCR,45079,SCAF11
2587,BCR,980,LRRC37A3
2587,BCR,62922,CADM4
2587,BCR,36230,MORC3
2587,BCR,51992,SEPTIN6
2587,BCR,4442,MAML1
2587,BCR,27570,ITGB1
2587,BCR,39117,CSHL1
2587,BCR,20294,CAMK2B
2587,BCR,17387,GGCX
2587,BCR,7263,CAPRIN1
2587,BCR,69408,CD93
2587,BCR,40470,HLA-DRB5
2587,BCR,85085,IL27RA
2587,BCR,19812,CLEC2D
2587,BCR,5031,SP110
2587,BCR,63309,GBP4
2587,BCR,25440,TJP1
2587,BCR,87872,ITCH
2587,BCR,28072,PPP1R2
2587,BCR,39468,INTS6L
2587,BCR,81309,SESTD1
2587,BCR,43951,CST4
2587,BCR,14962,KAT6A
2587,BCR,35989,PDE6H
2587,BCR,68949,NRG2
2587,BCR,21763,MBD4
2587,BCR,2762,LAPTM4B
2587,BCR,74641,RYK
2587,BCR,37620,UCP2
2587,BCR,27859,NCOA3
2587,BCR,24458,GAPDH
2587,BCR,49632,PPP3CA
