gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
29564,TSNARE1,96301,TP53,BRCA
29142,MMP16,33598,BRCA1,BRCA
29013,XAB2,31227,PARP1,BRCA
28933,WDR86,33598,BRCA1,BRCA
28825,PIGX,33598,BRCA1,BRCA
74399,CALD1,55035,PTEN,BRCA
57243,FHIT,81832,MSI2,BRCA
57243,FHIT,30847,NFIB,BRCA
57893,BMPER,55035,PTEN,BRCA
72875,GML,96301,TP53,BRCA
39727,ST18,55035,PTEN,BRCA
31342,ACTA2,55035,PTEN,BRCA
39388,UBA2,33598,BRCA1,BRCA
39281,RAB9B,55035,PTEN,BRCA
51846,KDELR2,55035,PTEN,BRCA
39263,RDH16,55035,PTEN,BRCA
31227,PARP1,54138,RAD51,BRCA
38902,RELT,33598,BRCA1,BRCA
39846,PPARA,81832,MSI2,BRCA
31227,PARP1,93727,SSBP1,BRCA
31057,ACER3,33598,BRCA1,BRCA
38719,ZFP41,96301,TP53,BRCA
30912,PPEF2,55035,PTEN,BRCA
30717,DDB1,31227,PARP1,BRCA
30361,BOP1,96301,TP53,BRCA
38649,EFNA3,33598,BRCA1,BRCA
38515,SLC39A4,33598,BRCA1,BRCA
38245,GDPD1,46130,BRCA2,BRCA
31227,PARP1,58426,RAD23B,BRCA
51422,SQLE,96301,TP53,BRCA
51078,PPP1R12A,55035,PTEN,BRCA
71234,APOD,96301,TP53,BRCA
40136,RFC4,33598,BRCA1,BRCA
40012,EXOSC4,33598,BRCA1,BRCA
39866,PIKFYVE,46130,BRCA2,BRCA
39846,PPARA,7978,BRIP1,BRCA
39846,PPARA,18242,DDB2,BRCA
55035,PTEN,76213,CDX2,BRCA
39846,PPARA,26275,PIK3R1,BRCA
32064,PADI3,55035,PTEN,BRCA
39846,PPARA,5964,FH,BRCA
39846,PPARA,27715,MLH1,BRCA
39846,PPARA,21674,CCND2,BRCA
50522,TAF2,96301,TP53,BRCA
39846,PPARA,83111,PER1,BRCA
39846,PPARA,44924,ELK4,BRCA
39846,PPARA,45416,NFKB2,BRCA
39846,PPARA,67614,FBN1,BRCA
50784,CCDC136,55035,PTEN,BRCA
39846,PPARA,30847,NFIB,BRCA
71234,APOD,33598,BRCA1,BRCA
55035,PTEN,68344,KLK1,BRCA
56881,GATA3,18242,DDB2,BRCA
37637,KCNG3,3375,ATM,BRCA
37600,ZNF625,33598,BRCA1,BRCA
53166,ABCB8,33598,BRCA1,BRCA
58849,TNK2,96301,TP53,BRCA
58634,ANTXR2,55035,PTEN,BRCA
53477,CDH1,17659,SS18L1,BRCA
72160,P2RX6,55035,PTEN,BRCA
53477,CDH1,81451,SDHB,BRCA
53477,CDH1,30847,NFIB,BRCA
58531,ST3GAL1,96301,TP53,BRCA
96301,TP53,53014,CTNNB1,BRCA
58397,NEXN,55035,PTEN,BRCA
53895,MUSK,55035,PTEN,BRCA
54075,AOX1,55035,PTEN,BRCA
58293,KIFC2,96301,TP53,BRCA
72622,FBXO32,96301,TP53,BRCA
58274,RRM2B,96301,TP53,BRCA
54316,DENND3,96301,TP53,BRCA
54359,HPD,55035,PTEN,BRCA
54498,CTHRC1,96301,TP53,BRCA
53797,RNF139,96301,TP53,BRCA
52743,FZD6,96301,TP53,BRCA
34184,TBRG1,55035,PTEN,BRCA
34722,RTP4,33598,BRCA1,BRCA
37441,CDK5,33598,BRCA1,BRCA
37267,GDPD4,33598,BRCA1,BRCA
36967,LY6K,33598,BRCA1,BRCA
36427,COL9A3,33598,BRCA1,BRCA
71409,SPAG1,96301,TP53,BRCA
36361,PRKAG2,33598,BRCA1,BRCA
29835,IZUMO1,55035,PTEN,BRCA
52322,FGL1,55035,PTEN,BRCA
36322,TPM4,96301,TP53,BRCA
71558,COLEC10,96301,TP53,BRCA
52382,KANK2,55035,PTEN,BRCA
52473,SEC62,96301,TP53,BRCA
36256,ZNF696,96301,TP53,BRCA
36158,POTEH,3375,ATM,BRCA
35558,IQCC,33598,BRCA1,BRCA
35495,ZNF44,33598,BRCA1,BRCA
35470,ODF1,33598,BRCA1,BRCA
35417,PEX2,33598,BRCA1,BRCA
34874,DGKI,33598,BRCA1,BRCA
30233,AUH,55035,PTEN,BRCA
32187,PEX5L,96301,TP53,BRCA
56953,CDH9,46130,BRCA2,BRCA
57076,SLC22A3,55035,PTEN,BRCA
60862,NARS2,53477,CDH1,BRCA
60862,NARS2,6603,FLI1,BRCA
60862,NARS2,73661,DDX10,BRCA
60862,NARS2,44924,ELK4,BRCA
60862,NARS2,83044,MCPH1,BRCA
60862,NARS2,26310,IL6ST,BRCA
60862,NARS2,5964,FH,BRCA
60862,NARS2,84776,BCL10,BRCA
60862,NARS2,8129,EXT1,BRCA
60862,NARS2,81832,MSI2,BRCA
60862,NARS2,57243,FHIT,BRCA
60862,NARS2,68079,DHRS13,BRCA
60862,NARS2,7978,BRIP1,BRCA
60862,NARS2,18839,MAP3K1,BRCA
60862,NARS2,18242,DDB2,BRCA
60862,NARS2,18996,LMO2,BRCA
60862,NARS2,24016,JAK2,BRCA
60862,NARS2,93063,MET,BRCA
60862,NARS2,81216,MEN1,BRCA
60862,NARS2,60732,KRAS,BRCA
60862,NARS2,21674,CCND2,BRCA
60862,NARS2,67614,FBN1,BRCA
20536,MCFD2,55035,PTEN,BRCA
24016,JAK2,67614,FBN1,BRCA
20371,SLA,96301,TP53,BRCA
20366,OR51T1,55035,PTEN,BRCA
24016,JAK2,41301,EZH2,BRCA
24016,JAK2,21674,CCND2,BRCA
20261,OC90,96301,TP53,BRCA
20202,P2RX1,55035,PTEN,BRCA
60862,NARS2,69978,CANT1,BRCA
24016,JAK2,44924,ELK4,BRCA
20031,PLA2G4D,55035,PTEN,BRCA
19947,GPR22,55035,PTEN,BRCA
60862,NARS2,89801,HERPUD1,BRCA
43143,KCNG4,55035,PTEN,BRCA
60862,NARS2,18585,MAML2,BRCA
60862,NARS2,46130,BRCA2,BRCA
60862,NARS2,61324,MAP2K4,BRCA
60862,NARS2,90775,BIRC3,BRCA
23942,TPM1,55035,PTEN,BRCA
60862,NARS2,68091,CCT2,BRCA
60862,NARS2,33026,CREBBP,BRCA
60862,NARS2,41301,EZH2,BRCA
63258,PTN,33598,BRCA1,BRCA
23929,FGF12,33598,BRCA1,BRCA
75191,B3GNT5,96301,TP53,BRCA
64064,SGK1,55035,PTEN,BRCA
18889,DBH,55035,PTEN,BRCA
75191,B3GNT5,33598,BRCA1,BRCA
64318,SERPINI1,33598,BRCA1,BRCA
64368,ENY2,33598,BRCA1,BRCA
63168,PYGO2,33598,BRCA1,BRCA
64584,SEMA5A,33598,BRCA1,BRCA
64904,TLN1,55035,PTEN,BRCA
64926,RCAN3,46130,BRCA2,BRCA
18839,MAP3K1,89060,NOTCH2,BRCA
18839,MAP3K1,3797,PTCH1,BRCA
18839,MAP3K1,83801,TRIP11,BRCA
18839,MAP3K1,38698,SYNE2,BRCA
18839,MAP3K1,81451,SDHB,BRCA
18839,MAP3K1,93063,MET,BRCA
64628,PTPRM,55035,PTEN,BRCA
63120,SRMS,33598,BRCA1,BRCA
63050,TMPRSS11F,55035,PTEN,BRCA
62414,ECT2,33598,BRCA1,BRCA
60862,NARS2,12092,ABCC4,BRCA
19137,MYC,96301,TP53,BRCA
60862,NARS2,56881,GATA3,BRCA
61083,LRP12,33598,BRCA1,BRCA
61206,PLK3,31227,PARP1,BRCA
61270,ZHX2,96301,TP53,BRCA
61319,LIPH,33598,BRCA1,BRCA
61321,CA1,33598,BRCA1,BRCA
61324,MAP2K4,41301,EZH2,BRCA
61324,MAP2K4,67614,FBN1,BRCA
61324,MAP2K4,10306,COL1A1,BRCA
61324,MAP2K4,44924,ELK4,BRCA
61324,MAP2K4,5964,FH,BRCA
61324,MAP2K4,21674,CCND2,BRCA
61324,MAP2K4,7978,BRIP1,BRCA
61729,PHF20L1,33598,BRCA1,BRCA
75167,GRHL2,96301,TP53,BRCA
62067,TGM6,55035,PTEN,BRCA
62197,KCNH4,46130,BRCA2,BRCA
60732,KRAS,7978,BRIP1,BRCA
20728,DIP2A,55035,PTEN,BRCA
20750,AKAP8L,96301,TP53,BRCA
21061,LIG3,31227,PARP1,BRCA
24016,JAK2,17659,SS18L1,BRCA
24016,JAK2,30847,NFIB,BRCA
24016,JAK2,83801,TRIP11,BRCA
58603,EIF2B5,33598,BRCA1,BRCA
58735,TMEM67,33598,BRCA1,BRCA
59237,TMTC4,46130,BRCA2,BRCA
59417,P2RY13,33598,BRCA1,BRCA
23595,NCEH1,96301,TP53,BRCA
24016,JAK2,9176,RB1,BRCA
59431,UGT3A1,55035,PTEN,BRCA
59582,EVX2,46130,BRCA2,BRCA
59595,CUL1,33598,BRCA1,BRCA
59665,ZMAT3,33598,BRCA1,BRCA
60019,MNX1,33598,BRCA1,BRCA
60236,RORB,3375,ATM,BRCA
60254,TRIB1,33598,BRCA1,BRCA
60254,TRIB1,96301,TP53,BRCA
60282,ZNF136,33598,BRCA1,BRCA
59582,EVX2,3375,ATM,BRCA
58397,NEXN,46130,BRCA2,BRCA
58293,KIFC2,33598,BRCA1,BRCA
24016,JAK2,14051,SUFU,BRCA
24964,DLK2,55035,PTEN,BRCA
57243,FHIT,44924,ELK4,BRCA
24938,CCDC50,96301,TP53,BRCA
57243,FHIT,21674,CCND2,BRCA
57283,ZHX1,96301,TP53,BRCA
57411,TP63,96301,TP53,BRCA
57411,TP63,33598,BRCA1,BRCA
57476,PLA1A,3375,ATM,BRCA
74491,ACOT11,33598,BRCA1,BRCA
58072,STMN2,33598,BRCA1,BRCA
58161,ITPR2,33598,BRCA1,BRCA
74765,EPHA5,55035,PTEN,BRCA
24247,KLHL1,55035,PTEN,BRCA
24129,GOLIM4,96301,TP53,BRCA
24016,JAK2,81451,SDHB,BRCA
24016,JAK2,85534,TSC1,BRCA
24016,JAK2,45416,NFKB2,BRCA
24016,JAK2,94589,WRN,BRCA
58274,RRM2B,33598,BRCA1,BRCA
60291,POTEE,46130,BRCA2,BRCA
25182,MAF,55035,PTEN,BRCA
60579,PTK2,33598,BRCA1,BRCA
27154,SMYD1,55035,PTEN,BRCA
24053,TGM3,55035,PTEN,BRCA
21929,BRD4,96301,TP53,BRCA
24016,JAK2,8129,EXT1,BRCA
24016,JAK2,89801,HERPUD1,BRCA
21875,OR2H1,55035,PTEN,BRCA
60732,KRAS,5964,FH,BRCA
60732,KRAS,21674,CCND2,BRCA
60732,KRAS,41301,EZH2,BRCA
24129,GOLIM4,33598,BRCA1,BRCA
60732,KRAS,8129,EXT1,BRCA
60732,KRAS,18242,DDB2,BRCA
60732,KRAS,44924,ELK4,BRCA
24016,JAK2,18242,DDB2,BRCA
21804,LRRTM3,55035,PTEN,BRCA
21384,KRT72,55035,PTEN,BRCA
21248,AVPR2,33598,BRCA1,BRCA
60732,KRAS,67614,FBN1,BRCA
24016,JAK2,10306,COL1A1,BRCA
24016,JAK2,7978,BRIP1,BRCA
60732,KRAS,33598,BRCA1,BRCA
24371,USP6,14051,SUFU,BRCA
24371,USP6,83111,PER1,BRCA
27024,ECE2,33598,BRCA1,BRCA
60732,KRAS,26310,IL6ST,BRCA
26776,SCIN,55035,PTEN,BRCA
26618,LMLN,33598,BRCA1,BRCA
26442,PYGM,55035,PTEN,BRCA
25899,SLC2A5,55035,PTEN,BRCA
25869,HERC3,46130,BRCA2,BRCA
25242,ZNF442,33598,BRCA1,BRCA
25091,P2RY1,3375,ATM,BRCA
25091,P2RY1,33598,BRCA1,BRCA
23139,CYP11B1,96301,TP53,BRCA
24651,PPM1L,33598,BRCA1,BRCA
24616,CNTLN,46130,BRCA2,BRCA
24512,ELL,33598,BRCA1,BRCA
24371,USP6,30847,NFIB,BRCA
24371,USP6,26310,IL6ST,BRCA
24371,USP6,17659,SS18L1,BRCA
22395,DBT,55035,PTEN,BRCA
24371,USP6,81832,MSI2,BRCA
60600,RAI14,33598,BRCA1,BRCA
18839,MAP3K1,94589,WRN,BRCA
32345,ISM2,55035,PTEN,BRCA
40171,GDNF,33598,BRCA1,BRCA
61729,PHF20L1,96301,TP53,BRCA
52970,PHACTR3,33598,BRCA1,BRCA
46130,BRCA2,75430,RECQL4,BRCA
46130,BRCA2,18242,DDB2,BRCA
52915,S100A14,33598,BRCA1,BRCA
46130,BRCA2,89060,NOTCH2,BRCA
46130,BRCA2,26275,PIK3R1,BRCA
46130,BRCA2,94589,WRN,BRCA
53318,PIP,33598,BRCA1,BRCA
61888,KRT4,55035,PTEN,BRCA
35227,EEF1D,96301,TP53,BRCA
61979,MASP1,96301,TP53,BRCA
52743,FZD6,33598,BRCA1,BRCA
62145,ACOT12,55035,PTEN,BRCA
62197,KCNH4,55035,PTEN,BRCA
62414,ECT2,96301,TP53,BRCA
62456,ID1,55035,PTEN,BRCA
62565,MAL2,96301,TP53,BRCA
35620,BMP3,55035,PTEN,BRCA
46130,BRCA2,3797,PTCH1,BRCA
36021,OR5C1,55035,PTEN,BRCA
36158,POTEH,55035,PTEN,BRCA
61324,MAP2K4,94589,WRN,BRCA
61324,MAP2K4,75430,RECQL4,BRCA
61324,MAP2K4,89060,NOTCH2,BRCA
37149,GUCY2D,55035,PTEN,BRCA
61324,MAP2K4,85534,TSC1,BRCA
36967,LY6K,96301,TP53,BRCA
36796,MCF2,55035,PTEN,BRCA
61324,MAP2K4,9176,RB1,BRCA
46130,BRCA2,31227,PARP1,BRCA
61324,MAP2K4,83801,TRIP11,BRCA
61324,MAP2K4,3797,PTCH1,BRCA
61324,MAP2K4,14051,SUFU,BRCA
61324,MAP2K4,81451,SDHB,BRCA
61324,MAP2K4,45416,NFKB2,BRCA
61324,MAP2K4,81832,MSI2,BRCA
61324,MAP2K4,83111,PER1,BRCA
61324,MAP2K4,11687,PBX1,BRCA
61343,RIMS2,96301,TP53,BRCA
61324,MAP2K4,27715,MLH1,BRCA
46130,BRCA2,41301,EZH2,BRCA
62728,NAALADL2,96301,TP53,BRCA
62856,CPSF1,96301,TP53,BRCA
46130,BRCA2,83801,TRIP11,BRCA
46130,BRCA2,83111,PER1,BRCA
46130,BRCA2,44924,ELK4,BRCA
52198,VPS28,33598,BRCA1,BRCA
51893,SERPINB13,46130,BRCA2,BRCA
46242,AADAT,46130,BRCA2,BRCA
51872,NPBWR1,3375,ATM,BRCA
33613,PPP2R3A,33598,BRCA1,BRCA
46130,BRCA2,9176,RB1,BRCA
33493,ST6GAL1,33598,BRCA1,BRCA
33026,CREBBP,21674,CCND2,BRCA
63537,LMAN1L,55035,PTEN,BRCA
33026,CREBBP,7978,BRIP1,BRCA
32945,ZNF7,96301,TP53,BRCA
32187,PEX5L,33598,BRCA1,BRCA
51868,CLDN18,33598,BRCA1,BRCA
63572,GRINA,96301,TP53,BRCA
51691,FARSA,33598,BRCA1,BRCA
33487,STMN3,33598,BRCA1,BRCA
46130,BRCA2,27715,MLH1,BRCA
52277,SFRP5,55035,PTEN,BRCA
46130,BRCA2,14051,SUFU,BRCA
63145,MAD1L1,55035,PTEN,BRCA
63171,GABRG3,55035,PTEN,BRCA
52551,DNAJC19,33598,BRCA1,BRCA
52452,ETV2,33598,BRCA1,BRCA
46130,BRCA2,21674,CCND2,BRCA
52382,KANK2,33598,BRCA1,BRCA
55035,PTEN,78171,GDF7,BRCA
34477,ARG2,55035,PTEN,BRCA
46130,BRCA2,8129,EXT1,BRCA
63247,ASCL3,55035,PTEN,BRCA
63315,NRAP,55035,PTEN,BRCA
46130,BRCA2,11653,RPL22,BRCA
46130,BRCA2,67614,FBN1,BRCA
46130,BRCA2,17659,SS18L1,BRCA
46130,BRCA2,5964,FH,BRCA
46130,BRCA2,89801,HERPUD1,BRCA
46130,BRCA2,93063,MET,BRCA
46130,BRCA2,30847,NFIB,BRCA
46130,BRCA2,85534,TSC1,BRCA
61324,MAP2K4,93063,MET,BRCA
37441,CDK5,31227,PARP1,BRCA
61324,MAP2K4,30847,NFIB,BRCA
61324,MAP2K4,17659,SS18L1,BRCA
60732,KRAS,75430,RECQL4,BRCA
41719,DAPK1,31227,PARP1,BRCA
41656,CAV3,55035,PTEN,BRCA
41569,FAM163A,55035,PTEN,BRCA
60732,KRAS,17659,SS18L1,BRCA
60732,KRAS,30847,NFIB,BRCA
60732,KRAS,3797,PTCH1,BRCA
60732,KRAS,26275,PIK3R1,BRCA
60732,KRAS,94589,WRN,BRCA
60732,KRAS,89060,NOTCH2,BRCA
40909,DACH2,55035,PTEN,BRCA
60732,KRAS,85534,TSC1,BRCA
60732,KRAS,81451,SDHB,BRCA
54498,CTHRC1,33598,BRCA1,BRCA
54401,FAM131B,33598,BRCA1,BRCA
40121,CFL2,55035,PTEN,BRCA
40054,ANGPT1,96301,TP53,BRCA
54316,DENND3,33598,BRCA1,BRCA
60732,KRAS,38698,SYNE2,BRCA
59787,FBXO40,55035,PTEN,BRCA
60732,KRAS,14051,SUFU,BRCA
60732,KRAS,81832,MSI2,BRCA
60732,KRAS,9176,RB1,BRCA
60732,KRAS,83801,TRIP11,BRCA
60732,KRAS,81402,NF1,BRCA
60673,GJB4,55035,PTEN,BRCA
43050,DMPK,55035,PTEN,BRCA
42987,CD81,55035,PTEN,BRCA
43670,SCRT1,96301,TP53,BRCA
43770,DNAJB1,96301,TP53,BRCA
60579,PTK2,96301,TP53,BRCA
42723,KCNJ15,55035,PTEN,BRCA
42387,FETUB,96301,TP53,BRCA
55035,PTEN,31608,MYBPH,BRCA
42288,MTBP,96301,TP53,BRCA
60291,POTEE,55035,PTEN,BRCA
41972,KLF10,96301,TP53,BRCA
60124,LMOD1,55035,PTEN,BRCA
59854,DCC,55035,PTEN,BRCA
60732,KRAS,45416,NFKB2,BRCA
60732,KRAS,83111,PER1,BRCA
39846,PPARA,17659,SS18L1,BRCA
30668,SLC8A1,55035,PTEN,BRCA
39846,PPARA,3797,PTCH1,BRCA
39846,PPARA,14051,SUFU,BRCA
60862,NARS2,83111,PER1,BRCA
39258,ADIPOQ,96301,TP53,BRCA
39258,ADIPOQ,33598,BRCA1,BRCA
60862,NARS2,30847,NFIB,BRCA
60862,NARS2,3797,PTCH1,BRCA
60862,NARS2,24371,USP6,BRCA
60862,NARS2,38698,SYNE2,BRCA
60862,NARS2,14051,SUFU,BRCA
55035,PTEN,50393,MYLPF,BRCA
60862,NARS2,75430,RECQL4,BRCA
60862,NARS2,94589,WRN,BRCA
60862,NARS2,11687,PBX1,BRCA
60862,NARS2,11653,RPL22,BRCA
60862,NARS2,83801,TRIP11,BRCA
61083,LRP12,96301,TP53,BRCA
61324,MAP2K4,26275,PIK3R1,BRCA
61324,MAP2K4,38698,SYNE2,BRCA
37814,FABP3,55035,PTEN,BRCA
60862,NARS2,81451,SDHB,BRCA
60862,NARS2,26275,PIK3R1,BRCA
60862,NARS2,45416,NFKB2,BRCA
60862,NARS2,47825,PIK3C3,BRCA
39846,PPARA,85534,TSC1,BRCA
54027,DPY19L4,33598,BRCA1,BRCA
46130,BRCA2,7978,BRIP1,BRCA
46130,BRCA2,26310,IL6ST,BRCA
53895,MUSK,46130,BRCA2,BRCA
46130,BRCA2,38698,SYNE2,BRCA
46130,BRCA2,81832,MSI2,BRCA
46130,BRCA2,81451,SDHB,BRCA
55035,PTEN,28468,CDC34,BRCA
53797,RNF139,33598,BRCA1,BRCA
46130,BRCA2,45416,NFKB2,BRCA
39509,NR1H4,55035,PTEN,BRCA
46130,BRCA2,11687,PBX1,BRCA
53636,DMKN,33598,BRCA1,BRCA
60761,PTP4A3,96301,TP53,BRCA
60862,NARS2,85534,TSC1,BRCA
60862,NARS2,89060,NOTCH2,BRCA
60862,NARS2,17659,SS18L1,BRCA
60862,NARS2,39846,PPARA,BRCA
39846,PPARA,83801,TRIP11,BRCA
40136,RFC4,31227,PARP1,BRCA
30668,SLC8A1,46130,BRCA2,BRCA
30262,RAMP1,55035,PTEN,BRCA
43770,DNAJB1,33598,BRCA1,BRCA
43670,SCRT1,33598,BRCA1,BRCA
43666,RFX4,55035,PTEN,BRCA
43660,WDR83,33598,BRCA1,BRCA
43482,VPS8,33598,BRCA1,BRCA
43319,MYOCD,3375,ATM,BRCA
69895,RHPN1,96301,TP53,BRCA
43319,MYOCD,46130,BRCA2,BRCA
43803,ZSWIM2,33598,BRCA1,BRCA
42712,TTC14,96301,TP53,BRCA
42426,SLC18A2,55035,PTEN,BRCA
48916,CFTR,55035,PTEN,BRCA
42387,FETUB,33598,BRCA1,BRCA
33838,GSDMC,96301,TP53,BRCA
33831,CEACAM4,55035,PTEN,BRCA
33725,CSRP1,55035,PTEN,BRCA
49335,ADH5,55035,PTEN,BRCA
49345,HECW1,55035,PTEN,BRCA
42712,TTC14,33598,BRCA1,BRCA
42371,VPS13B,96301,TP53,BRCA
44520,WNT2B,55035,PTEN,BRCA
69304,KCNMB3,96301,TP53,BRCA
68109,TMEM44,96301,TP53,BRCA
68129,CLCA4,55035,PTEN,BRCA
47825,PIK3C3,81832,MSI2,BRCA
47825,PIK3C3,44924,ELK4,BRCA
47825,PIK3C3,21674,CCND2,BRCA
47825,PIK3C3,18242,DDB2,BRCA
68234,MAPK14,96301,TP53,BRCA
68285,ATP6V1C1,96301,TP53,BRCA
44521,NCBP2,33598,BRCA1,BRCA
47825,PIK3C3,45416,NFKB2,BRCA
68453,IL17A,55035,PTEN,BRCA
68714,RAB8A,96301,TP53,BRCA
68851,FLNA,55035,PTEN,BRCA
47114,RPA3,31227,PARP1,BRCA
45769,TMEM192,55035,PTEN,BRCA
45453,F5,3375,ATM,BRCA
45233,CASP2,33598,BRCA1,BRCA
45072,COL20A1,33598,BRCA1,BRCA
47677,RPE65,55035,PTEN,BRCA
49688,MYH8,55035,PTEN,BRCA
69959,MYH7B,55035,PTEN,BRCA
69978,CANT1,3797,PTCH1,BRCA
33026,CREBBP,85534,TSC1,BRCA
33026,CREBBP,67614,FBN1,BRCA
33026,CREBBP,83801,TRIP11,BRCA
33026,CREBBP,17659,SS18L1,BRCA
33026,CREBBP,5964,FH,BRCA
33026,CREBBP,81451,SDHB,BRCA
33026,CREBBP,83111,PER1,BRCA
33026,CREBBP,14051,SUFU,BRCA
33026,CREBBP,94589,WRN,BRCA
33026,CREBBP,8129,EXT1,BRCA
33026,CREBBP,89060,NOTCH2,BRCA
32951,HAS2,96301,TP53,BRCA
41444,TSTA3,33598,BRCA1,BRCA
40596,RYR2,46130,BRCA2,BRCA
40596,RYR2,55035,PTEN,BRCA
40537,TPH1,55035,PTEN,BRCA
40367,SHC1,33598,BRCA1,BRCA
40189,TRPM4,55035,PTEN,BRCA
33026,CREBBP,26275,PIK3R1,BRCA
33026,CREBBP,75430,RECQL4,BRCA
33026,CREBBP,45416,NFKB2,BRCA
33026,CREBBP,30847,NFIB,BRCA
69978,CANT1,45416,NFKB2,BRCA
69978,CANT1,17659,SS18L1,BRCA
33598,BRCA1,31227,PARP1,BRCA
69978,CANT1,81832,MSI2,BRCA
69978,CANT1,30847,NFIB,BRCA
69978,CANT1,89060,NOTCH2,BRCA
69978,CANT1,81451,SDHB,BRCA
69978,CANT1,44924,ELK4,BRCA
33497,LRRC6,96301,TP53,BRCA
33493,ST6GAL1,96301,TP53,BRCA
49696,SLC2A2,96301,TP53,BRCA
33393,RAD21,96301,TP53,BRCA
50127,PPP1R12B,55035,PTEN,BRCA
70324,RPL8,96301,TP53,BRCA
41926,SPAG11B,55035,PTEN,BRCA
41865,STARD3NL,3375,ATM,BRCA
33085,ATP1B3,33598,BRCA1,BRCA
33026,CREBBP,89801,HERPUD1,BRCA
33026,CREBBP,44924,ELK4,BRCA
68091,CCT2,41301,EZH2,BRCA
68091,CCT2,14051,SUFU,BRCA
68091,CCT2,81451,SDHB,BRCA
68091,CCT2,83801,TRIP11,BRCA
65592,ERCC4,26275,PIK3R1,BRCA
47715,AURKA,33598,BRCA1,BRCA
47825,PIK3C3,94589,WRN,BRCA
47825,PIK3C3,81451,SDHB,BRCA
47825,PIK3C3,83801,TRIP11,BRCA
47825,PIK3C3,17659,SS18L1,BRCA
47825,PIK3C3,85534,TSC1,BRCA
47825,PIK3C3,38698,SYNE2,BRCA
65592,ERCC4,9176,RB1,BRCA
47825,PIK3C3,3797,PTCH1,BRCA
48272,FKBP1B,55035,PTEN,BRCA
59384,DCAF13,96301,TP53,BRCA
48631,STATH,55035,PTEN,BRCA
